No,Field,Name,Affiliation,Research Topic,Keywords,Webpages,Campus,LabURLOriginal,LabURLClean,LabHTTPStatus,LabError,LabTitle,LabEmail,LabSnippet
47,Engineering Sciences,"Assoc. Prof. Ogata, Seiichi",GS of Energy Science,1. Energy engineering 2. Energy and environmental economics 3. Corporate sustainability,"#Renewable Energy System Design #Agrivoltac Systems #Smart Energy Management,",https://researchma,Yoshida,https://researchma,https://researchma,,"Exception: ConnectionError: HTTPSConnectionPool(host='researchma', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1913100>: Failed to resolve 'researchma' ([Errno 8] nodename nor servname provided, or not known)""))",,,
48,Engineering Sciences,"Prof. Sagawa, Takashi",GS of Energy Science,"1. Materials designed of nanosized structures made of organic and inorganic composites 2. Electronic structural analyses of materials and characterization of their optical properties 3. Applications for photovoltaics (solar cells, photocatalysts, and so on), light- emitting devices, and/or others",#Photochemistry #Solid State Physics #Polymer Science,http://www.quante,Yoshida,http://www.quante,http://www.quante,,"Exception: ConnectionError: HTTPConnectionPool(host='www.quante', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb1913a60>: Failed to resolve 'www.quante' ([Errno 8] nodename nor servname provided, or not known)""))",,,
49,Engineering Sciences,"Prof. Katsumi, Takeshi",GS of Global Environmental Studies (GSGES),Geotechnical & geoenvironmental engineering,#Sustainable Construction #Waste Geotechnics #Disaster Recovery,https://geotech.ge e.kyoto- u.ac.jp/index_e.ht ml,Yoshida,https://geotech.ge e.kyoto- u.ac.jp/index_e.ht ml,https://geotech.gee.kyoto-u.ac.jp/index_e.html,404,HTTP 404,,,
50,Engineering Sciences,"Prof. Higo, Yosuke",GS of Management (GSM-KU),1. Computational geomechanics 2. Geomechanics from micro to macro,#Numerical simulation #X-ray micro-CT #Soil-water coupled problems,http://geomechani cs.kuciv.kyoto- u.ac.jp/index_en.h,Yoshida,http://geomechani cs.kuciv.kyoto- u.ac.jp/index_en.h,http://geomechanics.kuciv.kyoto-u.ac.jp/index_en.h,404,HTTP 404,,,
51,Engineering Sciences,"Prof. Tokita, Shigeki",Institute for Chemical Research (ICR),1. Ultrafast high-power mid-infrared laser sources 2. Coherent X-ray generation 3. Femtosecond lasers for industrial applications 4. The search for neutrinoless double beta decay 5. The search for dark matter,#Laser optics #Plasma physics #Experimental particle physics,https://en.laser.kui,Uji,https://en.laser.kui,https://en.laser.kui,,"Exception: ConnectionError: HTTPSConnectionPool(host='en.laser.kui', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb191a2e0>: Failed to resolve 'en.laser.kui' ([Errno 8] nodename nor servname provided, or not known)""))",,,
52,Engineering Sciences,"Prof. Nagasaki, Kazunobu",Institute of Advanced Energy (IAE),1. Plasma physics 2. Fusion science 3. Plasma heating and diagnostics,#Physics #Plasma #Nuclear Fusion,http://www.iae.ky oto- u.ac.jp/plasma/en/ index_E.html,Uji,http://www.iae.ky oto- u.ac.jp/plasma/en/ index_E.html,http://www.iae.kyoto-u.ac.jp/plasma/en/index_E.html,200,,"Department of Advanced Plasma Energy(Institute of Advanced Energy, Kyoto University)",,"ï»¿ Department of Advanced Plasma Energy(Institute of Advanced Energy, Kyoto University) Language: English | Japanse MENU Home Research Analysis of Plasma Production and Measurement of High Temperature Plasma Theses Prof. Kazunobu Nagasaki Theses for degree Lectures Members For new commer Snapshots ..."
53,Engineering Sciences,"Prof. Ito, Yoshihiro",Disaster Prevention Research Institute (DPRI),1. Earthquake seismology 2. Marine seismology 3: Marine geodesy,#Subduction Zone #Megathrust Earthquake #Slow Earthquake #Disaster Mitigation,https://www.rcep. dpri.kyoto- u.ac.jp/yito/index-,Uji,https://www.rcep. dpri.kyoto- u.ac.jp/yito/index-,https://www.rcep.dpri.kyoto-u.ac.jp/yito/index-,200,,京都大学防災研究所 地震予知研究センター,,"京都大学防災研究所 地震予知研究センター Disaster Prevention Research Institute, Kyoto University Research Center for Earthquake Hazards 京都大学防災研究附属 地震災害研究センター 2022年8月1日改組より、地震予知研究センター全領域と構造物震害研究分野合流し、 新たに地震災害研究センターが発足しました。 新しいURLは「 https://eqhz.dpri.kyoto-u.ac.jp/ 」になります。"
54,Engineering Sciences,"Prof. Uzuoka, Ryosuke",Disaster Prevention Research Institute (DPRI) /GS of Engineering,Geo-disaster prediction and mitigation,#Landslide #Soil liquefaction #Multiphase computational geomechanics,https://sites.google,Uji,https://sites.google,https://sites.google,,"Exception: ConnectionError: HTTPSConnectionPool(host='sites.google', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb191f250>: Failed to resolve 'sites.google' ([Errno 8] nodename nor servname provided, or not known)""))",,,
55,Engineering Sciences,"Prof. Hino, Masahiro",Institute for Integrated Radiation and Nuclear Science (KURNS),Neutron science with neutron optical technology,#Neutron Optics #Neutron Science #Neutron Sources,https://www.rri.ky,Kumatori,https://www.rri.ky,https://www.rri.ky,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.rri.ky', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1949100>: Failed to resolve 'www.rri.ky' ([Errno 8] nodename nor servname provided, or not known)""))",,,
56,Informatics,"Assoc. Prof. Fukuda, Ellen Hidemi",GS of Informatics,1. Operations research 2. Continuous optimization,"#Nonlinear Optimization, #Conic Optimization, #Multiobjective Optimization",http://www- optima.amp.i.kyot,Yoshida,http://www- optima.amp.i.kyot,http://www-optima.amp.i.kyot,,"Exception: ConnectionError: HTTPConnectionPool(host='www-optima.amp.i.kyot', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb1949a60>: Failed to resolve 'www-optima.amp.i.kyot' ([Errno 8] nodename nor servname provided, or not known)""))",,,
57,Informatics,"Prof. Hashimoto, Masanori",GS of Informatics,"Reliable integrated system design, Cryptographic engineering, Semiconductor sensor","VLSI, Physical security, Magnetic field sensing",https://vlsi.cce.i.k yoto-u.ac.jp/en/,Yoshida,https://vlsi.cce.i.k yoto-u.ac.jp/en/,https://vlsi.cce.i.kyoto-u.ac.jp/en/,200,,"集積システム工学講座 / Integrated Systems Engineering Laboratory – (佐藤、新津、橋本研 / Sato, Niitsu, Hashimoto Lab.)",,"集積システム工学講座 / Integrated Systems Engineering Laboratory – (佐藤、新津、橋本研 / Sato, Niitsu, Hashimoto Lab.) Skip to content 集積システム工学講座 / Integrated Systems Engineering Laboratory (佐藤、新津、橋本研 / Sato, Niitsu, Hashimoto Lab.) Member Research Theme Access Event News Link Previous members Menu Member Research The..."
58,Informatics,"Prof. Ito, Takayuki",GS of Informatics,"1. AI-empowered collective intelligence 2. Consensus informatics, 3. Hyperdemocracy: Next generation democracy system, 4. Computational mechanism design and social choice",#Artificial Intelligence #Multiagent Systems #LLM Agents #Collective Intelligence,https://sites.google,Yoshida,https://sites.google,https://sites.google,,"Exception: ConnectionError: HTTPSConnectionPool(host='sites.google', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb19f9b50>: Failed to resolve 'sites.google' ([Errno 8] nodename nor servname provided, or not known)""))",,,
59,Informatics,"Prof. Kano, Manabu",GS of Informatics,1. Process informatics & control 2. Data-based medical/healthcare service development 3. Development of AI for automatic first- principle model building,#Process Systems Engineering (PSE) #Medical Engineering #Machine Learning,http://human.sys.i.,Yoshida,http://human.sys.i.,http://human.sys.i.,,"Exception: ConnectionError: HTTPConnectionPool(host='human.sys.i.', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb19f99a0>: Failed to resolve 'human.sys.i' ([Errno 8] nodename nor servname provided, or not known)""))",,,
60,Informatics,"Prof. Sato, Takashi",GS of Informatics,Integrated circuit/system design and optimization,#Electronic Design Automation #Physical Design #Manufacturability #Hardware Accelerators,https://vlsi.cce.i.k yoto-u.ac.jp/,Yoshida,https://vlsi.cce.i.k yoto-u.ac.jp/,https://vlsi.cce.i.kyoto-u.ac.jp/,200,,"集積システム工学講座 / Integrated Systems Engineering Laboratory – (佐藤、新津、橋本研 / Sato, Niitsu, Hashimoto Lab.)",,"集積システム工学講座 / Integrated Systems Engineering Laboratory – (佐藤、新津、橋本研 / Sato, Niitsu, Hashimoto Lab.) コンテンツへスキップ 集積システム工学講座 / Integrated Systems Engineering Laboratory (佐藤、新津、橋本研 / Sato, Niitsu, Hashimoto Lab.) メンバー 研究テーマ アクセス イベント ニュース リンク 過去のメンバー メニュー メンバー 研究テーマ アクセス イベント ニュース リンク 過去のメンバー 集積システムで未来を..."
61,Informatics,"Prof. Shimodaira, Hidetoshi",GS of Informatics,1. Machine Learning 2. Mathematical Statistics 3. Natural Language Processing,#Neural Networks #Large Language Models #Word Embedding,https://stat.sys.i.ky,Yoshida,https://stat.sys.i.ky,https://stat.sys.i.ky,,"Exception: ConnectionError: HTTPSConnectionPool(host='stat.sys.i.ky', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1a9ba90>: Failed to resolve 'stat.sys.i.ky' ([Errno 8] nodename nor servname provided, or not known)""))",,,
62,Informatics,"Prof. Yamashita, Naomi",GS of Informatics,Human-Computer Interaction,"#AI, #communication design",https://naomi- yamashita.net/,Yoshida,https://naomi- yamashita.net/,https://naomi-yamashita.net/,200,,naomi yamashita – Just another WordPress site,,naomi yamashita – Just another WordPress site TOP MISSION RESEARCH PEOPLE & LOCATION PUBLICATIONS NEWS 情報技術でコミュニケーション／組織／社会をデザインする 現代社会において人間関係が希薄化する問題に焦点を当て 情報技術を使用してコミュニケーションを深化させる方法を研究をしています MISSION PROJECTS PUBLICATIONS 誰もが言語の壁を感じない世界 非母語話者が母語話者と対等にコミュニケーションできるように ICTツールを開発し、支援する研究を進めています。 more ...
63,Informatics,"Prof. Yamashita, Nobuo",GS of Informatics,Mathematical optimization,#Nonlinear Optimization #First Order Methods #Duality,http://www- optima.amp.i.kyot,Yoshida,http://www- optima.amp.i.kyot,http://www-optima.amp.i.kyot,,"Exception: ConnectionError: HTTPConnectionPool(host='www-optima.amp.i.kyot', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb1adb550>: Failed to resolve 'www-optima.amp.i.kyot' ([Errno 8] nodename nor servname provided, or not known)""))",,,
64,Informatics,"Assoc. Prof. Kawamura, Akitoshi",Research Institute for Mathematical Sciences (RIMS) / GS of Science,1. Computation theory 2. Algorithm design 3. Discrete mathematics,#Analysis of Algorithms #Mathematical Engineering #Experimental Algorithms,https://www.kurim,Yoshida,https://www.kurim,https://www.kurim,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.kurim', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1adbeb0>: Failed to resolve 'www.kurim' ([Errno 8] nodename nor servname provided, or not known)""))",,,
65,Informatics,"Prof. Kuroda, Tomohiro",Kyoto University Hospital,Medical Informatics,"#Hospital Information System, #Healthcare AI, #Patient Support",https://medinfo.ku,Yoshida,https://medinfo.ku,https://medinfo.ku,,"Exception: ConnectionError: HTTPSConnectionPool(host='medinfo.ku', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1ae0850>: Failed to resolve 'medinfo.ku' ([Errno 8] nodename nor servname provided, or not known)""))",,,
66,Biological Sciences,"Assoc. Prof. Oyama, Tokitaka",GS of Science,1. Circadian systems of photosynthetic organisms 2. Bioluminescence reporter systems 3. Plant-microbe interaction 4. Applications of duckweed plants,#Circadian Rhythm #Photoperiodism #Bioluminescence,http://www.biol.sc,Yoshida,http://www.biol.sc,http://www.biol.sc,,"Exception: ConnectionError: HTTPConnectionPool(host='www.biol.sc', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb1ae81f0>: Failed to resolve 'www.biol.sc' ([Errno 8] nodename nor servname provided, or not known)""))",,,
67,Biological Sciences,"Program-Specific Assoc. Prof. Begum, Nasim",GS of Medicine,Antibody Gene Recombination and Genome Instability in B cells,"#Epigenomics, #DNA repair, #RNA/DNA editing",https://www.ccii. med.kyoto- u.ac.jp/en/researc h/divisions- labs/department- of-immunology- and-genomic- medicine/,Yoshida,https://www.ccii. med.kyoto- u.ac.jp/en/researc h/divisions- labs/department- of-immunology- and-genomic- medicine/,https://www.ccii.med.kyoto-u.ac.jp/en/research/divisions-labs/department-of-immunology-and-genomic-medicine/,200,,"Department of Immunology and Genomic Medicine｜Research Divisions, Labs & Researchers｜Research｜Center for Cancer Immunotherapy and Immunobiology",recruit_ccii@mail2.adm.kyoto-u.ac.jp,"Department of Immunology and Genomic Medicine｜Research Divisions, Labs & Researchers｜Research｜Center for Cancer Immunotherapy and Immunobiology menu button Research Overview Research Divisions, Labs & Researchers Careers Overview Open Positions About Us Overview Networks Multipurpose Hall CCII Exhib..."
68,Biological Sciences,"Assoc. Prof. Carlton, Peter-mark",GS of Biostudies,Understanding molecular mechanisms regulating chromosome dynamics in meiosis using C. elegans germ cells as a model system,"#Chromosome Dynamics, Meiosis, High/super Resolution Microscopy, Live imaging #Quantitative Image Analysis, Genetics, CRISPR-Cas9 Genome Editing, C. Elegans #Genomic Sequence Analysis, DNA Repair, Homologous Recombination, Cell Cycle",https://www.carlto,Yoshida,https://www.carlto,https://www.carlto,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.carlto', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1b59880>: Failed to resolve 'www.carlto' ([Errno 8] nodename nor servname provided, or not known)""))",,,
69,Biological Sciences,"Prof. Harada, Hiroshi",GS of Biostudies,1. Tumor hypoxia 2. Cancer radioresistance 3. Cancer malignancy,#Hypoxia Response #Gene Network,https://www.lif.ky oto- u.ac.jp/e/research/,Yoshida,https://www.lif.ky oto- u.ac.jp/e/research/,https://www.lif.kyoto-u.ac.jp/e/research/,200,,"Research - Graduate School of Biostudies, Kyoto University",,"Research - Graduate School of Biostudies, Kyoto University Access Contact 日本語 Search About GSB Dean's greeting History Data of GSB Actions for gender equality Research Laboratories Division of Integrated Life Science Division of Systemic Life Science Research Results Awards Facilities Radiation Biol..."
70,Biological Sciences,"Prof. Kohchi, Takayuki",GS of Biostudies,1. Plant sex determination and differentiation 2. Molecular mechanisms of environmental responses in plants 3. Molecular basis of land plant evolution,#Sex Chromosome Evolution #Light Sensing and Signaling #Genetic and Epigenetic Regulation,https://www.lif.ky oto- u.ac.jp/e/research/,Yoshida,https://www.lif.ky oto- u.ac.jp/e/research/,https://www.lif.kyoto-u.ac.jp/e/research/,200,,"Research - Graduate School of Biostudies, Kyoto University",,"Research - Graduate School of Biostudies, Kyoto University Access Contact 日本語 Search About GSB Dean's greeting History Data of GSB Actions for gender equality Research Laboratories Division of Integrated Life Science Division of Systemic Life Science Research Results Awards Facilities Radiation Biol..."
71,Biological Sciences,"Prof. Oda, Yukako",GS of Biostudies,1. Induction and regulation of epithelial cell-cell adhesion 2. Control of invasive and metastatic cancers 3. Understanding of aging from intestinal barrier function,#Cancer #Cell–cell Adhesion #Physiologically Active Peptide,https://www.lif.ky oto- u.ac.jp/e/research/,Yoshida,https://www.lif.ky oto- u.ac.jp/e/research/,https://www.lif.kyoto-u.ac.jp/e/research/,200,,"Research - Graduate School of Biostudies, Kyoto University",,"Research - Graduate School of Biostudies, Kyoto University Access Contact 日本語 Search About GSB Dean's greeting History Data of GSB Actions for gender equality Research Laboratories Division of Integrated Life Science Division of Systemic Life Science Research Results Awards Facilities Radiation Biol..."
72,Biological Sciences,"Prof. Toju, Hirokazu",GS of Biostudies / Center for Living Systems Information Science (CeLiSIS),1. Ecosystem structure and dynamics 2. Plant-associated microbiomes 3. Fish-associated microbiomes 4. Metagenomics,#Microbiomes #Ecosystem Sustainability #Theoretical Ecology #Biodiversity,https://sites.google,Yoshida,https://sites.google,https://sites.google,,"Exception: ConnectionError: HTTPSConnectionPool(host='sites.google', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1c46220>: Failed to resolve 'sites.google' ([Errno 8] nodename nor servname provided, or not known)""))",,,
73,Biological Sciences,"Prof. Watanabe, Naoki",GS of Biostudies,1. Single-molecule imaging 2. Mechanotransduction 3. Drug paradox 4. Multiple disease marker detector,#Multiplexed Super- Resolution Microscopy #Tissue & Neural Remodeling #Cancer Drugs,http://www.pharm 2.med.kyoto- u.ac.jp/2_index.ht,Yoshida,http://www.pharm 2.med.kyoto- u.ac.jp/2_index.ht,http://www.pharm2.med.kyoto-u.ac.jp/2_index.ht,404,HTTP 404,,,
74,Biological Sciences,"Assoc. Prof. Yamano, Takashi",GS of Biostudies,Molecular biology of phase-separated organelles in aquatic photosynthesis,#Live-cell Imaging #Organelle #Phase Separation #Machine Learning,https://www.lif.ky oto- u.ac.jp/e/research/,Yoshida,https://www.lif.ky oto- u.ac.jp/e/research/,https://www.lif.kyoto-u.ac.jp/e/research/,200,,"Research - Graduate School of Biostudies, Kyoto University",,"Research - Graduate School of Biostudies, Kyoto University Access Contact 日本語 Search About GSB Dean's greeting History Data of GSB Actions for gender equality Research Laboratories Division of Integrated Life Science Division of Systemic Life Science Research Results Awards Facilities Radiation Biol..."
75,Biological Sciences,"Prof. Yasuhara, Takaaki",GS of Biostudies,"1. The molecular mechanisms of cellular stress response 2. Genomic instability induced by abnormal transcription-associated stresses 3. The stress responses mediated by phase separation of RNA-binding proteins 4. Disease-related genome abnormalities caused by aging 5. The fundamental mechanism of diseases, such as cancer and chromosomal anomaly",#Cellular Stress Response #Genomic Instability #Disease Mechanism,https://www.rbc.k yoto- u.ac.jp/genome_st,Yoshida,https://www.rbc.k yoto- u.ac.jp/genome_st,https://www.rbc.kyoto-u.ac.jp/genome_st,404,HTTP 404,,,
76,Biological Sciences,"Prof. Shintaku, Hirofumi",Institute for Life and Medical Sciences (LiMe),1. Nanoelectrokinetics 2. Cell mechanics 3. Cancer biology,#Single Cell #RNA-seq #Microfluidics,https://www.infron,Yoshida,https://www.infron,https://www.infron,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.infron', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1bdd460>: Failed to resolve 'www.infron' ([Errno 8] nodename nor servname provided, or not known)""))",,,
77,Biological Sciences,"Assoc. Prof. Nagata, Takashi",Institute of Advanced Energy (IAE),1. Obtain value-added compounds and sustainable energy from woody biomass to achieve decarbonization 2. Elucidate functions and dysfunctions of disease-related proteins and nucleic acids 3. Investigate structure–function relationships of biomacromolecules,#Woody Biomass #Decarbonization #Diseases #Structural Biology #Biophysics,http://www.iae.ky oto-u.ac.jp/bio/,Uji,http://www.iae.ky oto-u.ac.jp/bio/,http://www.iae.kyoto-u.ac.jp/bio/,200,,京都大学 エネルギー理工学研究所 エネルギー構造生命科学研究分野 片平研究室,,京都大学 エネルギー理工学研究所 エネルギー構造生命科学研究分野 片平研究室 News Research Achievements Members Join us JP EN 京都大学エネルギー理工学研究所 エネルギー構造生命科学研究分野 京都大学大学院 エネルギー科学研究科 エネルギー基礎科学専攻 生体エネルギー科学分野 K-12 片平研究室 命の仕組みを解き 持続可能な社会へ 当研究室では、疾患関連タンパク質や機能性DNA・RNAの立体構造を解析し、機能発現メカニズムを解明することで、創薬や新たな機能分子の創成を目指しています。 また、木質バイオマスの構造と特性を研究し、バイオエネルギーや...
78,Biological Sciences,"Assoc. Prof. Ikeya, Makoto",Center for iPS Cell Research and Application (CiRA),1. iPSC-based disease modeling 2. iPSC-based cell therapy 3. Developmental biology using iPSCs,# Developmental biology # MSC # Neural crest cells,Research Overview | Makoto Ikeya (Associate Professor) | CiRA,Yoshida,Research Overview | Makoto Ikeya (Associate Professor) | CiRA,https://ResearchOverview|MakotoIkeya(AssociateProfessor)|CiRA,,"Exception: ConnectionError: HTTPSConnectionPool(host='researchoverview%7cmakotoikeya(associateprofessor)%7ccira', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1b64040>: Failed to resolve 'researchoverview%7cmakotoikeya(associateprofessor)%7ccira' ([Errno 8] nodename nor servname provided, or not known)""))",,,
79,Biological Sciences,"Junior Associate Professor Iwasaki, Mio",Center for iPS Cell Research and Application (CiRA),How is cell fate control selective for a specific type of cells?,"Protein analysis, proteomics, iPS cells, cell fate control",https://iwasaki- lab.cira.kyoto- u.ac.jp/en/,Yoshida,https://iwasaki- lab.cira.kyoto- u.ac.jp/en/,https://iwasaki-lab.cira.kyoto-u.ac.jp/en/,200,,"Center for iPS Cell Research and Application, Kyoto University (CiRA) Mio Iwasaki Lab. | Official web site of Mio Iwasaki Lab, Center for iPS Cell Research and Application, Kyoto University. Our laboratory clarifies the characteristics of stem cells, especially based on the data obtained by comprehensive analysis of proteins. We also hope to contribute to medical topics by examining proteins that control cell differentiation and useful for iPS production.",,"Center for iPS Cell Research and Application, Kyoto University (CiRA) Mio Iwasaki Lab. | Official web site of Mio Iwasaki Lab, Center for iPS Cell Research and Application, Kyoto University. Our laboratory clarifies the characteristics of stem cells, especially based on the data obtained by comprehe..."
80,Biological Sciences,Assoc. Prof. Knut Woltjen,Center for iPS Cell Research and Application (CiRA),1. Human genome analysis and genome editing 2. iPSC-based disease modeling and cell therapy 3. Protective or beneficial genetic variants impacting human health and aging,"#Genome engineering, gene editing, CRISPR- Cas9, transposon, recombinase, DNA repair, homologous recombination, recombinant DNA #Human genetics, genome sequencing, variants, and bioinformatic analysis #Cell therapy, gene therapy, ex vivo cell engineering, induced pluripotent stem cells","https://woltjen.cir a.kyoto-u.ac.jp, https://youtu.be/tZ",Yoshida,"https://woltjen.cir a.kyoto-u.ac.jp, https://youtu.be/tZ","https://woltjen.cira.kyoto-u.ac.jp,https://youtu.be/tZ",,"Exception: ConnectionError: HTTPSConnectionPool(host='woltjen.cira.kyoto-u.ac.jp,https', port=443): Max retries exceeded with url: /youtu.be/tZ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1bd66d0>: Failed to resolve 'woltjen.cira.kyoto-u.ac.jp,https' ([Errno 8] nodename nor servname provided, or not known)""))",,,
81,Biological Sciences,"Associate Professor Shimobayashi, Shunsuke",Center for iPS Cell Research and Application (CiRA),Elucidation of the Principles and Functions of Non-Membranous Organelles via Phase Separation and Their Application to Cellular Reprogramming,"Phase separation, Biomolecular condensates, iPS cells",http://shimolab.cir,Yoshida,http://shimolab.cir,http://shimolab.cir,,"Exception: ConnectionError: HTTPConnectionPool(host='shimolab.cir', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb1bce070>: Failed to resolve 'shimolab.cir' ([Errno 8] nodename nor servname provided, or not known)""))",,,
82,Biological Sciences,"Assoc. Prof. Hanya, Goro",Center for Ecological Research (CER),"Ecological adaptation of non-human primates, in particular digestion and gut microbiome","#primatology, #feeding ecology, #gut microbiome",https://www.ecolo gy.kyoto- u.ac.jp/~hanya/ind,Inuyama,https://www.ecolo gy.kyoto- u.ac.jp/~hanya/ind,https://www.ecology.kyoto-u.ac.jp/~hanya/ind,404,HTTP 404,,,
83,Biological Sciences,"Prof. Motokawa, Masaharu",The Kyoto University Museum,1. Species diversity of terrestrial vertebrates in Asia 2. Formation history of Japanese islands' animal fauna 3. Variation and variability in morphology of mammals,#Taxonomy and Phylogeny #Zoogeography #Functional Morphology,https://zoo.zool.ky,Yoshida,https://zoo.zool.ky,https://zoo.zool.ky,,"Exception: ConnectionError: HTTPSConnectionPool(host='zoo.zool.ky', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1bce160>: Failed to resolve 'zoo.zool.ky' ([Errno 8] nodename nor servname provided, or not known)""))",,,
84,Biological Sciences,"Asst. Prof. Katsura, Yukako",Center for the Evolutionary Origins of Human Behavior (EHUB),1. Genome and Sex chromosome evolution 2. Transcriptome analyses 3. Molecular evolution in primates and other vertebrates.,Evolutionarty Genetics Genome Science Molecular Evolution,https://www.biol.s ci.kyoto- u.ac.jp/en/laborato,Inuyama,https://www.biol.s ci.kyoto- u.ac.jp/en/laborato,https://www.biol.sci.kyoto-u.ac.jp/en/laborato,200,,研究室 ｜ KYOTO UNIVERSITY,,研究室 ｜ KYOTO UNIVERSITY HOME Zoology Botany Biophysics Primatology and Wildlife Research Laboratory List Education Undergraduate Graduate Field Research Application Access Related Links Biological Sciences Kyoto University Google Custom Search 日本語 Laboratory List HOME Laboratory List Animal Core Cour...
85,Biological Sciences,"Snr. Lec. /Jr. Assoc. Prof. Namasivayam, Ganesh- Pandian",Institute for Integrated Cell- Material Sciences (iCeMS) /GS of Engineering,1. Epigenetics 2. Nucleic acid therapeutics 3. Stem cell control 4. Personalized medicine,#Skin Cell Aging #Mitochondria #Chemical Biology,https://www.nama sivayam.icems.ky oto-u.ac.jp/,Yoshida,https://www.nama sivayam.icems.ky oto-u.ac.jp/,https://www.namasivayam.icems.kyoto-u.ac.jp/,200,,Home | NamasivayamG iCeMS,ganeshlab@protonmail.com,Home | NamasivayamG iCeMS top of page Welcome to Namasivayam Group Home People Our Team Visiting Professors PI Profile Research Publications Media and Events Our lab in Media Events and Seminars Contact us Home People Our Team Visiting Professors PI Profile Research Publications Media and Events Our...
86,Biological Sciences,"Prof. Suzuki, Jun",Institute for Integrated Cell- Material Sciences (iCeMS) /GS of Biostudies,1. Lipid scrambling 2. Cellular and tissue renovation 3. Elimination of unwanted cells,#Unbiased Screening #Establishemnt of Assay System #Diseases Treatment,https://www.suzuk,Yoshida,https://www.suzuk,https://www.suzuk,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.suzuk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb12ccd60>: Failed to resolve 'www.suzuk' ([Errno 8] nodename nor servname provided, or not known)""))",,,
87,Biological Sciences,"Asst. Prof. Isobe, Masanori",Kyoto University Hospital,1. Psychiatry and clinical neuroscience 2. Neuroimaging 3. Neurodevelopmental disorders and eating disorders,"cognitive neuroscience, neuroimaging, MRI, anorexia nervosa, autism spectrum disorder, attention-deficit/ hyperactivity disorder",http://www.tedi.m ed.kyoto-u.ac.jp/,Yoshida,http://www.tedi.m ed.kyoto-u.ac.jp/,http://www.tedi.med.kyoto-u.ac.jp/,200,,京都大学精神医学教室TEDI -,tedi.tdcs.recruit@gmail.com,京都大学精神医学教室TEDI - MENU HOME 私たちについて 摂食障害とは 被験者募集 お問い合わせ HOME 私たちについて 摂食障害とは 被験者募集 【経頭蓋直流電気刺激（tDCS）を用いた臨床研究への参加者募集】 本研究は、 神経性やせ症の患者さん を対象に、 経頭蓋直流電気刺激（tDCS） と呼ばれる、頭皮にスポンジを当て、そこから非常に弱い電流が流れることで、その部位の脳の活動を変化させるという世界で広く用いられているデバイスを使った研究です。この刺激は、わずかにピリピリとした感覚を覚えることがありますが、不快に感じるほどではなく、多くの方はほとんど気にならない程度です。 国...
